seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped,titan_goal_step,spot_goal_step,titan_final_goal_distance,spot_final_goal_distance,min_robot_distance,titan_action_mae,spot_action_mae
12,ppo,200,1170.3267896814928,True,False,True,False,True,False,True,False,False,False,True,False,,105,5.2587571184570026,1.1260052664688125,1.3649717569351196,,
12,depth4_e,97,104.81884069022882,True,False,False,False,True,True,False,False,True,True,False,False,,,5.680247931359261,4.390929485983779,1.2206050157546997,0.5869807778536459,0.813861075211088
12,depth6_e,200,1284.6097869061093,True,False,True,False,True,False,True,False,False,False,False,False,,140,5.229766398311856,3.724392725605908,1.670295238494873,0.821733158101961,0.6028308222921541
12,high_fidelity_e,200,1317.1408144789718,True,False,True,False,True,False,True,False,False,False,False,False,,112,5.229766398311856,1.660561279886795,1.6787067651748657,0.807409566266397,0.4517210588338926
13,ppo,83,57.28052966729169,True,False,False,False,True,True,True,False,False,True,True,False,,,5.458303924095466,4.881746998681689,1.051661491394043,,
13,depth4_e,92,72.57231360567633,True,False,False,False,True,True,True,False,False,True,True,False,,,5.451598060037537,5.4795654369723765,1.4193447828292847,0.41425201996488303,0.981166189672429
13,depth6_e,56,62.02038030193627,True,False,False,False,True,True,True,False,False,True,False,False,,,5.509910525971673,4.764269373284335,0.9422339797019958,0.25675447955896397,0.8492359611118806
13,high_fidelity_e,53,63.06931734789582,True,False,False,False,True,True,True,False,False,True,False,False,,,5.550395703281654,4.927021633447884,1.0296653509140015,0.27367170759878684,0.6960195655726745
14,ppo,11,-22.932753341523306,True,False,False,False,True,True,False,False,True,True,False,False,,,8.125387114456446,7.465798743835348,1.0562622547149658,,
14,depth4_e,89,106.4469149168336,True,False,False,False,True,True,False,False,True,True,False,False,,,5.992791033597112,3.936385968029979,1.272275686264038,0.6695888053123744,0.9320925802318057
14,depth6_e,104,116.69438266359134,True,False,False,False,True,True,False,False,True,True,False,False,,,5.792559505800818,3.5231892410702756,1.3547744750976562,0.390930168598304,0.694811858172928
14,high_fidelity_e,200,1208.0657121030272,True,False,True,False,True,False,True,False,False,False,False,False,,121,5.262696057013357,2.250036933729933,1.3827247619628906,0.5096497554407925,0.5496396243431739
15,ppo,200,21.954663091443088,True,False,False,False,True,False,True,False,False,False,True,False,,,4.546874863078968,6.603822219312465,1.0436904430389404,,
15,depth4_e,69,66.60145195323877,True,False,False,False,True,True,True,False,False,True,True,False,,,4.576703439802409,6.270752202488521,1.2681797742843628,0.33131211553499074,0.7235583322530834
15,depth6_e,45,73.42581181745732,True,False,False,False,True,True,False,False,True,True,False,False,,,4.78793871899044,5.320076489514778,0.9396787285804749,0.25961065403487726,0.9428717665392709
15,high_fidelity_e,48,89.36692166573884,True,False,False,False,True,True,True,False,False,True,False,False,,,4.69113888999967,5.252233885333684,0.9316636323928833,0.28052834478944516,0.8997178050014183
16,ppo,71,60.01762661566159,True,False,False,False,True,True,True,False,False,True,True,False,,,5.441256168038966,5.079177673790365,1.18256413936615,,
16,depth4_e,77,69.17300487317972,True,False,False,False,True,True,True,False,False,True,True,False,,,5.4378211269672345,5.563881184829332,1.5288641452789307,0.4069588023898312,0.956719232442333
16,depth6_e,48,45.19819598387407,True,False,False,False,True,True,True,False,True,True,False,False,,,5.562839350956543,5.001769468772013,0.9986333250999451,0.27709434893065876,0.9566645382212826
16,high_fidelity_e,47,58.22005340099875,True,False,False,False,True,True,True,False,False,True,False,False,,,5.565499869483624,4.772360423569181,0.9283664226531982,0.279978548784087,0.9532335940768708
17,ppo,200,1159.2044732581853,True,False,True,False,True,False,True,False,False,False,True,False,,108,5.2383158281860025,1.128465774949779,1.4045614004135132,,
17,depth4_e,98,89.17049985699349,True,False,False,False,True,True,False,False,True,True,False,False,,,5.769654882323693,3.7811678083747617,1.1476740837097168,0.49916650721715294,0.775218243940772
