seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped
27,high_fidelity_e,42,50.75827343510372,True,False,False,False,True,True,False,False,False,False,False,False
28,ppo,200,1164.9870901105194,True,False,True,False,True,False,True,False,False,False,True,False
28,depth4_e,97,72.21526161524488,True,False,False,False,True,True,False,False,False,False,False,False
28,depth6_e,200,1281.6554879479493,True,False,True,False,True,False,True,False,False,False,True,False
28,high_fidelity_e,200,1259.5701111046296,True,False,True,False,True,False,True,False,False,False,True,False
29,ppo,200,1175.553031353813,True,False,True,False,True,False,True,False,False,False,True,False
29,depth4_e,100,117.78450393527524,True,False,False,False,True,True,False,False,False,False,False,False
29,depth6_e,125,138.74347680658667,True,False,False,False,True,True,False,False,False,False,False,False
29,high_fidelity_e,200,1273.2503668949255,True,False,True,False,True,False,True,False,False,False,True,False
30,ppo,184,20.88716016202496,True,False,False,False,True,True,True,False,False,False,True,False
30,depth4_e,54,68.48275578967382,True,False,False,False,True,True,True,False,False,False,False,False
30,depth6_e,41,51.20191249921038,True,False,False,False,True,True,False,False,False,False,False,False
30,high_fidelity_e,39,58.2413519778249,True,False,False,False,True,True,False,False,False,False,False,False
31,ppo,58,66.19344102751339,True,False,False,False,True,True,True,False,False,False,False,False
31,depth4_e,62,60.26048520837846,True,False,False,False,True,True,True,False,False,False,False,False
31,depth6_e,36,29.579306124425713,True,False,False,False,True,True,False,False,False,False,False,False
31,high_fidelity_e,42,44.10349271916279,True,False,False,False,True,True,True,False,False,False,False,False
32,ppo,200,1230.2021362700905,True,False,True,False,True,False,True,False,False,False,False,False
32,depth4_e,122,128.578966767654,True,False,False,False,True,True,False,False,False,False,False,False
32,depth6_e,120,115.36405078712143,True,False,False,False,True,True,False,False,False,False,False,False
32,high_fidelity_e,128,144.82835158336508,True,False,False,False,True,True,False,False,False,False,False,False
33,ppo,69,80.52282157349833,True,False,False,False,True,True,True,False,False,False,True,False
33,depth4_e,117,66.09621040242625,True,False,False,False,True,True,True,False,False,False,True,False
33,depth6_e,54,59.89661638160909,True,False,False,False,True,True,True,False,False,False,False,False
33,high_fidelity_e,48,54.79464518222776,True,False,False,False,True,True,True,False,False,False,False,False
34,ppo,52,43.449907646608125,True,False,False,False,True,True,True,False,False,False,False,False
34,depth4_e,99,68.42428835959943,True,False,False,False,True,True,True,False,False,False,True,False
34,depth6_e,27,-12.19497455620852,True,False,False,False,True,True,False,False,False,False,False,False
34,high_fidelity_e,47,56.48228915576828,True,False,False,False,True,True,True,False,False,False,False,False
35,ppo,200,1203.0816867595197,True,False,True,False,True,False,True,False,False,False,False,False
35,depth4_e,105,107.49303125488869,True,False,False,False,True,True,False,False,False,False,False,False
35,depth6_e,76,93.64256623487307,True,False,False,False,True,True,False,False,False,False,False,False
35,high_fidelity_e,200,2248.3581353797886,True,True,True,True,True,False,True,False,False,False,False,False
36,ppo,44,40.81250172193743,True,False,False,False,True,True,True,False,False,False,False,False
36,depth4_e,146,41.85298283994091,True,False,False,False,True,True,True,False,False,False,True,False
36,depth6_e,44,42.90171024584873,True,False,False,False,True,True,True,False,False,False,False,False
36,high_fidelity_e,37,-107.56902766292453,True,False,False,False,True,True,True,False,False,False,False,False
37,ppo,200,3308.3287722746163,True,True,True,True,True,False,True,False,False,False,False,False
37,depth4_e,125,125.03194026914503,True,False,False,False,True,True,False,False,False,False,False,False
37,depth6_e,200,1248.8771546337384,True,False,True,False,True,False,True,False,False,False,True,False
37,high_fidelity_e,114,118.76744805828477,True,False,False,False,True,True,False,False,False,False,False,False
38,ppo,62,64.62889958720886,True,False,False,False,True,True,True,False,False,False,True,False
38,depth4_e,80,69.4301023710152,True,False,False,False,True,True,True,False,False,False,True,False
38,depth6_e,59,78.21459336429126,True,False,False,False,True,True,True,False,False,False,True,False
38,high_fidelity_e,53,77.05369150927385,True,False,False,False,True,True,True,False,False,False,True,False
39,ppo,196,2032.5503176125308,True,True,True,True,True,True,True,False,False,False,False,False
39,depth4_e,121,124.05500127766753,True,False,False,False,True,True,False,False,False,False,False,False
39,depth6_e,73,95.58931596245316,True,False,False,False,True,True,False,False,False,False,False,False
39,high_fidelity_e,76,98.45532183813874,True,False,False,False,True,True,False,False,False,False,False,False
40,ppo,200,2197.110495936061,True,True,True,True,True,False,True,False,False,False,False,False
40,depth4_e,119,143.0044633900364,True,False,False,False,True,True,False,False,False,False,False,False
40,depth6_e,200,1286.1054324505271,True,False,True,False,True,False,True,False,False,False,True,False
40,high_fidelity_e,111,135.74424916993735,True,False,False,False,True,True,False,False,False,False,False,False
41,ppo,200,1233.2542331938203,True,False,True,False,True,False,True,False,False,False,False,False
41,depth4_e,200,1122.5489890209305,True,False,True,False,True,False,True,False,False,False,False,False
41,depth6_e,81,109.3997851735121,True,False,False,False,True,True,False,False,False,False,False,False
